Link,Wordpress,Invalid SSL,gtmetrix PageSpeed Score,YSlow Score,Fully Loaded Time
https://ithemes.com/,True,False,,,
https://www.youtube.com/channel/UCYSDQEcxAppePTn5E7iNpFg,False,False
https://www.liquidweb.com/products/add-ons/ithemes/,True,False,,,
https://winningwp.com/ithemes-review/,True,False,,,
